TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES,SKU
pastel cross beaded bracelet,This is such a cute summer bracelet that has pastel colored beads and a white cross in the center.,3,USD,4,,,https://i.etsystatic.com/45496600/r/il/55d1d7/6178321261/il_fullxfull.6178321261_3ika.jpg,https://i.etsystatic.com/45496600/r/il/d28ac0/6130211442/il_fullxfull.6130211442_cgw4.jpg,https://i.etsystatic.com/45496600/r/il/372c75/6178321265/il_fullxfull.6178321265_21q3.jpg,,,,,,,,,,,,,,
black pearl clay bead bracelet,This bracelet includes white pearls with surrounding black clay beads and a flower charm to finish it off.,5,USD,2,"flower,pearl,Clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/bdc7f2/6639389515/il_fullxfull.6639389515_1if9.jpg,https://i.etsystatic.com/45496600/r/il/5272a3/6591276226/il_fullxfull.6591276226_sn39.jpg,,,,,,,,,,,,,,,
Pink star clay bead bracelet,"A beautiful star bracelet with pinks, yellows, and blues.",5,USD,1,,,https://i.etsystatic.com/45496600/r/il/6ed987/5194805810/il_fullxfull.5194805810_31o1.jpg,https://i.etsystatic.com/45496600/r/il/423538/5194808338/il_fullxfull.5194808338_gctx.jpg,,,,,,,,,,,,,,,
Candy clay bead bracelet,A cute and simple candy clay bead bracelet.,5,USD,2,,,https://i.etsystatic.com/45496600/r/il/fbd11a/5442988983/il_fullxfull.5442988983_jyph.jpg,https://i.etsystatic.com/45496600/r/il/f90482/5442989135/il_fullxfull.5442989135_2gzb.jpg,,,,,,,,,,,,,,,
Olivia Rodrigo guts clay bead bracelet,Olivia Rodrigo’s album guts! All the colors are inspired by her new album!,5,USD,3,,,https://i.etsystatic.com/45496600/r/il/cb5c18/5394829756/il_fullxfull.5394829756_nd8p.jpg,https://i.etsystatic.com/45496600/r/il/774363/5442980239/il_fullxfull.5442980239_1dbv.jpg,https://i.etsystatic.com/45496600/r/il/be3898/5442980529/il_fullxfull.5442980529_ljfi.jpg,,,,,,,,,,,,,,
Blue Hawaiian flower clay bead bracelet,This is a blue clay bead bracelet with pearls and a blue Hawaiian flower in the middle.,5,USD,2,,,https://i.etsystatic.com/45496600/r/il/2097b8/5394818438/il_fullxfull.5394818438_1zvb.jpg,https://i.etsystatic.com/45496600/r/il/93cd75/5442969469/il_fullxfull.5442969469_mrsr.jpg,,,,,,,,,,,,,,,
Red heart beaded bracelet,This bracelet includes white beads and a red gold heart charm.,2,USD,2,,,https://i.etsystatic.com/45496600/r/il/1e3a4e/5781851441/il_fullxfull.5781851441_q13e.jpg,https://i.etsystatic.com/45496600/r/il/971890/5781851449/il_fullxfull.5781851449_p7hb.jpg,,,,,,,,,,,,,,,
Heart pants and shirt beaded bracelet set,This set includes a heart shirt charm bracelet and a heart pants charm bracelet.,4,USD,1,,,https://i.etsystatic.com/45496600/r/il/881db3/5733764866/il_fullxfull.5733764866_ocqr.jpg,https://i.etsystatic.com/45496600/r/il/8b4cdf/5781841293/il_fullxfull.5781841293_kuwe.jpg,https://i.etsystatic.com/45496600/r/il/0e20ce/5733764874/il_fullxfull.5733764874_892w.jpg,https://i.etsystatic.com/45496600/r/il/c8a939/5733764878/il_fullxfull.5733764878_c88v.jpg,,,,,,,,,,,,,
glamourous pink beaded bracelet,"This pretty pink bracelet has pearls, gold, beads, silver beads, pink beads, etc. This bracelet is gorgeous for any occasion.",2,USD,3,"pink,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/890f9e/6591352136/il_fullxfull.6591352136_59ay.jpg,https://i.etsystatic.com/45496600/r/il/aff118/6591352138/il_fullxfull.6591352138_kqb9.jpg,,,,,,,,,,,,,,,
Purple heart clay bead bracelet,This purple bracelet has silver spacers and a silver heart in the middle.,5,USD,2,"purple,heart,valentines_day",,https://i.etsystatic.com/45496600/r/il/3f2878/6591346592/il_fullxfull.6591346592_sq9v.jpg,https://i.etsystatic.com/45496600/r/il/8719ee/6639459101/il_fullxfull.6639459101_1p4h.jpg,,,,,,,,,,,,,,,
love beaded bracelet,This bracelet is a Valentine’s Day bracelet with the sayings love on it with the O being a heart and a cute pattern with red and pink beads.,2,USD,3,"love,beaded_bracelet,Valentine",,https://i.etsystatic.com/45496600/r/il/55ef47/6591331310/il_fullxfull.6591331310_4fsp.jpg,https://i.etsystatic.com/45496600/r/il/02d204/6591331308/il_fullxfull.6591331308_hk98.jpg,,,,,,,,,,,,,,,
anchor down clay bead bracelet,This bracelet includes summer colored beads with silver spacers and a silver anchor at the middle.,5,USD,2,"anchor,beachy,summer,clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/b2a31a/6591340600/il_fullxfull.6591340600_1bpc.jpg,https://i.etsystatic.com/45496600/r/il/9df6d2/6591340596/il_fullxfull.6591340596_g8ld.jpg,,,,,,,,,,,,,,,
full heart clay bead bracelet,This bracelet has a variety of color with a pink heart in the center.,5,USD,2,"pink,heart,valentine",,https://i.etsystatic.com/45496600/r/il/aef8bd/6591323412/il_fullxfull.6591323412_i8gj.jpg,https://i.etsystatic.com/45496600/r/il/fb89d6/6639436397/il_fullxfull.6639436397_in1e.jpg,,,,,,,,,,,,,,,
pink heart beaded bracelet,This beaded bracelet has a variety of pink beads with a gold heart in the center,2,USD,4,"pink,gold_heart,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/92dc47/6639430309/il_fullxfull.6639430309_bxml.jpg,https://i.etsystatic.com/45496600/r/il/7e59c8/6591316970/il_fullxfull.6591316970_8jpx.jpg,,,,,,,,,,,,,,,
pinky promise beaded bracelet,This bracelet has a variety of pink and white beads. This bracelet is a perfect gift for Valentine’s Day or any occasion that could need some pink to the outfit.,2,USD,2,"pink,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/3c1619/6639424311/il_fullxfull.6639424311_kovc.jpg,https://i.etsystatic.com/45496600/r/il/2ea8cb/6591310740/il_fullxfull.6591310740_oqil.jpg,,,,,,,,,,,,,,,
tiger clay bead bracelet,"This tiger bracelet includes variety of colors including black, white and orange with gold spacer beads and a cute gold tiger charm in the middle.",5,USD,2,"tiger,orange,clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/2120cd/6639416843/il_fullxfull.6639416843_7lqu.jpg,https://i.etsystatic.com/45496600/r/il/eda572/6591303000/il_fullxfull.6591303000_8fhv.jpg,,,,,,,,,,,,,,,
blue snowflake clay bead bracelet,This bracelet includes variety of blue colors and a cute gold snowflake charm in the middle.,5,USD,3,"snowflake,blue,Clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/1f5efc/6639410465/il_fullxfull.6639410465_q5vv.jpg,https://i.etsystatic.com/45496600/r/il/a0d466/6639410461/il_fullxfull.6639410461_ckmv.jpg,,,,,,,,,,,,,,,
cartoon starfish clay bead bracelet,"This bracelet includes a variety of colors in pink and a cute, cartoon starfish charm.",5,USD,2,"starfish,Clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/f95884/6591290782/il_fullxfull.6591290782_pqep.jpg,https://i.etsystatic.com/45496600/r/il/803bd1/6639404299/il_fullxfull.6639404299_jnjs.jpg,,,,,,,,,,,,,,,
pink crystal beaded bracelet,This bracelet has unique beads with a variation of shades in pink.,1.5,USD,3,"pink,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/b1717e/6591282730/il_fullxfull.6591282730_m6x4.jpg,https://i.etsystatic.com/45496600/r/il/a62127/6639396013/il_fullxfull.6639396013_mog1.jpg,,,,,,,,,,,,,,,
pink spring clay bead bracelet,This spring bracelet has a beautiful pattern of color with a pink flower charm.,5,USD,3,"flower,clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/fb8f5b/6639383141/il_fullxfull.6639383141_6ifd.jpg,https://i.etsystatic.com/45496600/r/il/76b28f/6591269936/il_fullxfull.6591269936_6ucf.jpg,,,,,,,,,,,,,,,
spider and its web clay bead bracelet set,This bracelet set includes an one bracelet with a spider and the other with a web. This is a perfect gift for loved ones around the fall season.,7,USD,1,"set,spider_bracelet,web_bracelet,Halloween",,https://i.etsystatic.com/45496600/r/il/f8d4e6/6591260470/il_fullxfull.6591260470_42v6.jpg,https://i.etsystatic.com/45496600/r/il/21b014/6591260472/il_fullxfull.6591260472_aigf.jpg,https://i.etsystatic.com/45496600/r/il/b9f519/6639373543/il_fullxfull.6639373543_p2lc.jpg,https://i.etsystatic.com/45496600/r/il/cda366/6591260474/il_fullxfull.6591260474_kbep.jpg,https://i.etsystatic.com/45496600/r/il/d96d5b/6639373539/il_fullxfull.6639373539_qjzz.jpg,,,,,,,,,,,,
purple crystal beaded bracelet,This bracelet has unique beads in a variation of purple colors.,1.5,USD,2,"purple,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/e80396/6639358717/il_fullxfull.6639358717_461m.jpg,https://i.etsystatic.com/45496600/r/il/b398cf/6639358715/il_fullxfull.6639358715_1tue.jpg,,,,,,,,,,,,,,,
pink rainbow clay bead bracelet,This clay bead bracelet has a mix of pinks and colors of the rainbow.,3,USD,2,Clay_bead_bracelet,,https://i.etsystatic.com/45496600/r/il/68881e/6639365305/il_fullxfull.6639365305_23ym.jpg,https://i.etsystatic.com/45496600/r/il/6cc130/6639365303/il_fullxfull.6639365303_jrek.jpg,,,,,,,,,,,,,,,
merry clay bead bracelet,This Christmas bracelet has unique pattern that is perfect for the holiday season.,5,USD,3,"Christmas,clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/dd7a87/6639347211/il_fullxfull.6639347211_595v.jpg,https://i.etsystatic.com/45496600/r/il/631fb3/6591233748/il_fullxfull.6591233748_sqbg.jpg,,,,,,,,,,,,,,,
pastel pearl clay bead bracelet,This pastel bracelet has pearls in between and creates a beautiful spring jewelry piece.,4,USD,3,"pearl,pastel,bracelet",,https://i.etsystatic.com/45496600/r/il/8df8df/6637507945/il_fullxfull.6637507945_1upz.jpg,https://i.etsystatic.com/45496600/r/il/6572c1/6637507941/il_fullxfull.6637507941_5g9w.jpg,,,,,,,,,,,,,,,
blue flower clay bead bracelet,This blue flower clay bead bracelet has a unique spacers between all the clay beads and a beautiful flower charm in the middle.,5,USD,4,flower_bracelet,,https://i.etsystatic.com/45496600/r/il/788d54/6589394362/il_fullxfull.6589394362_1inm.jpg,https://i.etsystatic.com/45496600/r/il/0dfe7e/6589394364/il_fullxfull.6589394364_6z63.jpg,,,,,,,,,,,,,,,
teal flower clay bead bracelet,This flower bracelet includes a teal charm with surrounding clay beads.,5,USD,3,flower_bracelet,,https://i.etsystatic.com/45496600/r/il/e087a2/6589386516/il_fullxfull.6589386516_8e3r.jpg,https://i.etsystatic.com/45496600/r/il/4d491e/6589386514/il_fullxfull.6589386514_bq0c.jpg,,,,,,,,,,,,,,,
Taylor Swift lover beaded bracelet,This Taylor Swift bracelet is inspired by  the iconic lover album. It has gold letter beads and beads including the colors of the album.,2,USD,6,"Taylor_swift,lover_album",,https://i.etsystatic.com/45496600/r/il/ff5aa4/6589367248/il_fullxfull.6589367248_phcu.jpg,https://i.etsystatic.com/45496600/r/il/edec42/6589367244/il_fullxfull.6589367244_ofw8.jpg,,,,,,,,,,,,,,,
beach side clay bead bracelet,This bracelet has a beach twist with a sea shell and starfish! This is the perfect beach side jewelry.,5,USD,2,"beach_bracelets,sea_shell,starfish_bracelet",,https://i.etsystatic.com/45496600/r/il/18674f/6637464353/il_fullxfull.6637464353_sn4o.jpg,https://i.etsystatic.com/45496600/r/il/bdcda6/6589355950/il_fullxfull.6589355950_ay2j.jpg,,,,,,,,,,,,,,,
gold pink heart clay bead bracelet,This cute bracelet has a pink mix of beads with some gold spacers as well as a heart gold bead.,5,USD,4,"gold_heart,valentines_day",,https://i.etsystatic.com/45496600/r/il/1ddda9/6589348366/il_fullxfull.6589348366_inbz.jpg,https://i.etsystatic.com/45496600/r/il/6136dd/6589348364/il_fullxfull.6589348364_37zh.jpg,https://i.etsystatic.com/45496600/r/il/6af905/6637456601/il_fullxfull.6637456601_dfzp.jpg,,,,,,,,,,,,,,
starfish clay bead bracelet,This bracelet comes in three different colors to choose from and has a nice starfish charm to go along with it.,5,USD,6,"sea_creature,starfish_bracelet",,https://i.etsystatic.com/45496600/r/il/03ce8e/6637441807/il_fullxfull.6637441807_hclm.jpg,https://i.etsystatic.com/45496600/r/il/12aeb1/6637441805/il_fullxfull.6637441805_fmz8.jpg,https://i.etsystatic.com/45496600/r/il/776e7d/6637441811/il_fullxfull.6637441811_8j4g.jpg,https://i.etsystatic.com/45496600/r/il/db6bc8/6589333652/il_fullxfull.6589333652_t1z8.jpg,https://i.etsystatic.com/45496600/r/il/ab15f2/6637441809/il_fullxfull.6637441809_8iht.jpg,https://i.etsystatic.com/45496600/r/il/fbcad7/6637441817/il_fullxfull.6637441817_tbmf.jpg,https://i.etsystatic.com/45496600/r/il/9360b4/6637441795/il_fullxfull.6637441795_c3jv.jpg,,,,Custom Property,color,"green,red,blue",,,,
seashell clay bead bracelet,This bracelet includes a option of three colors and has a super cute shell charm.,5,USD,6,,,https://i.etsystatic.com/45496600/r/il/6c1a78/6637432917/il_fullxfull.6637432917_mqbk.jpg,https://i.etsystatic.com/45496600/r/il/88a2ed/6589324556/il_fullxfull.6589324556_pb1m.jpg,https://i.etsystatic.com/45496600/r/il/6c0423/6589324554/il_fullxfull.6589324554_5v1c.jpg,https://i.etsystatic.com/45496600/r/il/da5c28/6637432923/il_fullxfull.6637432923_jsh9.jpg,https://i.etsystatic.com/45496600/r/il/5c1099/6589324546/il_fullxfull.6589324546_n9l8.jpg,https://i.etsystatic.com/45496600/r/il/2803bd/6637432913/il_fullxfull.6637432913_bvk0.jpg,https://i.etsystatic.com/45496600/r/il/35f494/6589324548/il_fullxfull.6589324548_2vux.jpg,,,,Custom Property,color,"teal,purple,green",,,,
seahorse clay bead bracelet,This is the perfect summer bracelet that includes a seahorse charm and 2 different color charms to choose from!,5,USD,4,,,https://i.etsystatic.com/45496600/r/il/a3cb00/6637424027/il_fullxfull.6637424027_coyu.jpg,https://i.etsystatic.com/45496600/r/il/6396be/6637424031/il_fullxfull.6637424031_ciar.jpg,https://i.etsystatic.com/45496600/r/il/624f18/6589315482/il_fullxfull.6589315482_l45e.jpg,https://i.etsystatic.com/45496600/r/il/3ac758/6637424035/il_fullxfull.6637424035_ba8m.jpg,https://i.etsystatic.com/45496600/r/il/afbeab/6637424025/il_fullxfull.6637424025_9dd1.jpg,,,,,,Custom Property,color of charm,"white,black",,,,
key to my heart clay bead bracelet set,"This set includes one bracelet with a heart and the other with a key! This cute combo is perfect for best friends, relationships, etc!",7,USD,5,"bracelet_set,valentines_day",,https://i.etsystatic.com/45496600/r/il/1d0127/6589287032/il_fullxfull.6589287032_ptry.jpg,https://i.etsystatic.com/45496600/r/il/25be78/6637396115/il_fullxfull.6637396115_40ps.jpg,https://i.etsystatic.com/45496600/r/il/c1bbf8/6589287022/il_fullxfull.6589287022_fsz7.jpg,https://i.etsystatic.com/45496600/r/il/fc6fac/6637404181/il_fullxfull.6637404181_qt1z.jpg,https://i.etsystatic.com/45496600/r/il/6805b2/6589295268/il_fullxfull.6589295268_pq2t.jpg,https://i.etsystatic.com/45496600/r/il/be7fcb/7106861614/il_fullxfull.7106861614_salj.jpg,,,,,Custom Property,color of charm,"red,gold,blue,black,white",,,,
butterfly clay bead bracelet,"This is a cute bracelet has a variation of different colors including a blue, pink, red, white, and black with gold and a butterfly add on.",5,USD,18,"clay_bead_bracelet,butterfly",,https://i.etsystatic.com/45496600/r/il/6047fc/7105378552/il_fullxfull.7105378552_5c3e.jpg,https://i.etsystatic.com/45496600/r/il/901e60/6637336347/il_fullxfull.6637336347_gsyc.jpg,https://i.etsystatic.com/45496600/r/il/985693/6637336341/il_fullxfull.6637336341_e44m.jpg,https://i.etsystatic.com/45496600/r/il/6b0451/6589226290/il_fullxfull.6589226290_9awg.jpg,https://i.etsystatic.com/45496600/r/il/db9765/6589226288/il_fullxfull.6589226288_azv6.jpg,https://i.etsystatic.com/45496600/r/il/df53a1/6637336339/il_fullxfull.6637336339_njtr.jpg,https://i.etsystatic.com/45496600/r/il/a147d2/6637336345/il_fullxfull.6637336345_1c42.jpg,https://i.etsystatic.com/45496600/r/il/f2e75b/6589226284/il_fullxfull.6589226284_ldvo.jpg,https://i.etsystatic.com/45496600/r/il/b21edb/6637336343/il_fullxfull.6637336343_r8tr.jpg,https://i.etsystatic.com/45496600/r/il/1d038a/7153344453/il_fullxfull.7153344453_1015.jpg,Custom Property,color,"red,pink,blue,white,black",,,,
Skull clay bead bracelet,"The skull bracelet makes you into the spooky season with red, purple, and black beads with a skull charm.",4.5,USD,3,,,https://i.etsystatic.com/45496600/r/il/598e5e/5300495536/il_fullxfull.5300495536_d9lj.jpg,https://i.etsystatic.com/45496600/r/il/00b414/5348671409/il_fullxfull.5348671409_8yji.jpg,,,,,,,,,,,,,,,
Halloscream clay bead bracelet,A cute simple Halloween bracelet.,5,USD,2,,,https://i.etsystatic.com/45496600/r/il/26f2ba/5324943441/il_fullxfull.5324943441_xoh6.jpg,https://i.etsystatic.com/45496600/r/il/09b974/5276757534/il_fullxfull.5276757534_bnkc.jpg,,,,,,,,,,,,,,,
Halloween striped clay bead bracelet,"This beautiful Halloween bracelet is simple and perfect for a little Halloween touch. With gold beads, black, orange, and white clay beads makes the Halloween striped bracelet.",5,USD,2,,,https://i.etsystatic.com/45496600/r/il/986819/5276524214/il_fullxfull.5276524214_htdo.jpg,https://i.etsystatic.com/45496600/r/il/d6cb71/5324710903/il_fullxfull.5324710903_2bro.jpg,,,,,,,,,,,,,,,
